l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,plan_a,plan_b,plan_c,risk
02,Inventory pre-sale and price,02.04,Purchase restrictions,02.04.04,Regional bans or sanctions restrictions,PRODUCT-POLICY,HUMAN-REVIEW,LEGAL-ESCALATE,manual
03,Pay tax at checkout,03.01,Shopping cart and checkout failure,03.01.01,Product cannot be added to shopping cart,CHECKOUT-FIX,STOCK-AVAILABLE,NEED-INFO,low
03,Pay tax at checkout,03.01,Shopping cart and checkout failure,03.01.02,Error on checkout page,CHECKOUT-FIX,NEED-INFO,HUMAN-REVIEW,medium
03,Pay tax at checkout,03.01,Shopping cart and checkout failure,03.01.03,Address cannot be verified,CHECKOUT-FIX,ADDRESS-CHANGE,HUMAN-REVIEW,medium
03,Pay taxes and fees at checkout,03.01,Shopping cart and checkout failure,03.01.04,Visitor checkout or account force,CHECKOUT-FIX,ACCOUNT-ACCESS,PRODUCT-POLICY,low
03,checkout and pay taxes,03.02,payment status,03.02.01,bank card declined,PAYMENT-DECLINED,NEED-INFO,HUMAN-REVIEW,medium
03,checkout and pay taxes,03.02,payment status,03.02.02,payment pending,PAYMENT-PENDING,ORDER-CONFIRM,HUMAN-REVIEW,medium
03,checkout and pay taxes,03.02,payment status,03.02.03,payment successful but no order,ORDER-CONFIRM,PAYMENT-PENDING,HUMAN-REVIEW,high
03,Pay taxes at checkout,03.02,Payment status,03.02.04,Duplicate deduction,PAYMENT-DUPLICATE,REFUND-ISSUED,HUMAN-REVIEW,high
03,Pay taxes at checkout,03.02,Payment status,03.02.05,Unauthorized deduction,PAYMENT-UNAUTHORIZED,SECURITY-PHISHING,HUMAN-REVIEW,manual
03,Pay taxes and fees at checkout,03.03,Payment method,03.03.01,"Installment or buy now, pay later",PAYMENT-DECLINED,PRICE-EXPLAIN,HUMAN-REVIEW,medium
03,Pay taxes and fees at checkout,03.03,Payment method,03.03.02,Wallet or local payment failed,PAYMENT-DECLINED,CHECKOUT-FIX,HUMAN-REVIEW,medium
03,Pay taxes and fees at checkout,03.03,Payment method,03.03.03,Cash on delivery problem,PRODUCT-POLICY,ORDER-CONFIRM,HUMAN-REVIEW,medium
03,Pay taxes and fees at checkout,03.03,Payment method,03.03.04,Currency and exchange,PRICE-EXPLAIN,TAX-DUTY,HUMAN-REVIEW,medium
03,Pay taxes and fees at checkout,03.04,Amount composition,03.04.01,Freight abnormality,PRICE-EXPLAIN,SHIP-STATUS,HUMAN-REVIEW,medium
03,Pay taxes at checkout,03.04,Amount composition,03.04.02,Tax calculation,TAX-DUTY,PRICE-EXPLAIN,HUMAN-REVIEW,medium
03,Pay taxes and fees at checkout,03.04,Amount composition,03.04.03,Import tariff estimate,TAX-DUTY,SHIP-CUSTOMS,HUMAN-REVIEW,medium
03,Tax payment at checkout,03.04,Amount composition,03.04.04,Change in total price at checkout,PRICE-EXPLAIN,PROMO-VALIDATE,HUMAN-REVIEW,medium
03,Pay taxes and fees at checkout,03.05,Verification and risk control,03.05.01,3DS verification code failed,PAYMENT-VERIFY,PAYMENT-DECLINED,HUMAN-REVIEW,high
03,Pay taxes and fees at checkout,03.05,Verification and risk control,03.05.02,Order risk control suspended,ORDER-HOLD,PAYMENT-VERIFY,HUMAN-REVIEW,manual
03,Checkout and pay taxes,03.05,Verification and risk control,03.05.03,Identity verification request,PAYMENT-VERIFY,NEED-INFO,HUMAN-REVIEW,manual
03,Pay taxes and fees at checkout,03.05,Verification and risk control,03.05.04,Suspicious payment link,SECURITY-PHISHING,PAYMENT-VERIFY,HUMAN-REVIEW,manual
03,Pay tax at checkout,03.06,Invoice receipt gift card,03.06.01,Resend order receipt,INVOICE-ISSUE,ORDER-CONFIRM,RESOLVE-NOW,low
03,pay tax at checkout,03.06,invoice receipt gift card,03.06.02,value-added tax or corporate invoice,INVOICE-ISSUE,TAX-DUTY,HUMAN-REVIEW,medium
03,Pay taxes at checkout,03.06,Invoice receipt gift card,03.06.03,Correction of invoice information,INVOICE-ISSUE,ACCOUNT-PROFILE,HUMAN-REVIEW,medium
03,pay taxes at checkout,03.06,invoice receipt gift card,03.06.04,gift card purchase balance,GIFTCARD-HELP,NEED-INFO,HUMAN-REVIEW,high
04,Order creation and changes,04.01,Order confirmation,04.01.01,No confirmation email received,ORDER-CONFIRM,RESOLVE-NOW,NEED-ORDER,low
04,order creation and changes,04.01,order confirmation,04.01.02,order number not found,NEED-ORDER,ORDER-CONFIRM,HUMAN-REVIEW,medium
04,order creation and change,04.01,order confirmation,04.01.03,duplicate order,ORDER-DUPLICATE,ORDER-CANCEL,HUMAN-REVIEW,high
04,order creation and changes,04.01,order confirmation,04.01.04,order automatically canceled,ORDER-HOLD,REFUND-PENDING,HUMAN-REVIEW,high
04,order creation and changes,04.02,order cancellation,04.02.01,cancellation of entire undelivered order,ORDER-CANCEL,RESOLVE-NOW,HUMAN-REVIEW,high
04,order creation and changes,04.02,order cancellation,04.02.02,cancellation of undelivered parts,ORDER-CANCEL,REFUND-PARTIAL,HUMAN-REVIEW,high
04,order creation and changes,04.02,order cancellation,04.02.03,has entered the warehouse for processing,ORDER-CANCEL-LATE,ORDER-CANCEL,HUMAN-REVIEW,high
04,order creation and changes,04.02,order cancellation,04.02.04,cancellation after shipment,ORDER-CANCEL-LATE,RETURN-ELIGIBLE,HUMAN-REVIEW,high
04,order creation and changes,04.03,product and quantity modification,04.03.01,"change size, color and style",ORDER-EDIT,EXCHANGE-REQUEST,HUMAN-REVIEW,high
04,order creation and changes,04.03,product and quantity modification,04.03.02,increase product quantity,ORDER-EDIT,ORDER-CANCEL,HUMAN-REVIEW,high
04,order creation and changes,04.03,product and quantity modification,04.03.03,reduce product quantity,ORDER-EDIT,REFUND-PARTIAL,HUMAN-REVIEW,high
04,Order creation and changes,04.03,Modification of goods and quantities,04.03.04,Replacement of out-of-stock goods,ORDER-EDIT,PROD-RECOMMEND,HUMAN-REVIEW,high
04,order creation and change,04.04,address and delivery modification,04.04.01,delivery address modification,ADDRESS-CHANGE,HUMAN-REVIEW,ORDER-CANCEL-LATE,manual
04,order creation and change,04.04,address and delivery modification,04.04.02,billing address modification,ACCOUNT-PROFILE,INVOICE-ISSUE,HUMAN-REVIEW,high
04,order creation and change,04.04,address and delivery modification,04.04.03,delivery method upgrade or downgrade,SHIPPING-METHOD-CHANGE,PRICE-EXPLAIN,HUMAN-REVIEW,high
04,Order creation and changes,04.04,Address and delivery modification,04.04.04,Change pickup person,SHIP-PICKUP,ACCOUNT-PROFILE,HUMAN-REVIEW,manual
04,Order creation and change,04.05,Order structure,04.05.01,Request to split the order,ORDER-SPLIT,SHIPPING-METHOD-CHANGE,HUMAN-REVIEW,medium
04,Order creation and changes,04.05,Order structure,04.05.02,Request to combine orders,ORDER-SPLIT,PRICE-EXPLAIN,HUMAN-REVIEW,medium
04,Order creation and changes,04.05,Order structure,04.05.03,Multi-warehouse or multi-package instructions,ORDER-SPLIT,SHIP-PARTIAL,SHIP-STATUS,low
04,Order creation and change,04.05,Order structure,04.05.04,Order and subscription relationship,SUB-CHANGE,ORDER-CONFIRM,HUMAN-REVIEW,medium
04,Order creation and changes,04.06,Gifts and remarks,04.06.01,Add and modify gift messages,ORDER-GIFT,ORDER-EDIT,HUMAN-REVIEW,medium
04,Order creation and changes,04.06,Gifts and remarks,04.06.02,Gift packaging,ORDER-GIFT,PRICE-EXPLAIN,HUMAN-REVIEW,medium
04,Order creation and changes,04.06,Gifts and remarks,04.06.03,Hidden price receipt,ORDER-GIFT,INVOICE-ISSUE,HUMAN-REVIEW,medium
04,Order creation and changes,04.06,Gifts and remarks,04.06.04,Order special remarks,ORDER-EDIT,NEED-INFO,HUMAN-REVIEW,medium
05,Shipping and distribution,05.01,Not shipped status,05.01.01,Normally in stock,SHIP-NOT-SENT,ORDER-CONFIRM,RESOLVE-NOW,low
05,Shipping and Distribution,05.01,Undelivered status,05.01.02,Exceeded the promise but not delivered,SHIP-NOT-SENT,SHIP-DELAY,ORDER-CANCEL,high
05,Shipping and distribution,05.01,Undelivered status,05.01.03,"Out of stock, waiting for shipment",SHIP-NOT-SENT,STOCK-RESTOCK,ORDER-CANCEL,medium
05,Shipping and distribution,05.01,Undelivered status,05.01.04,Pre-sale waiting for shipment,PREORDER-INFO,SHIP-NOT-SENT,ORDER-CANCEL,medium
05,Shipping and Distribution,05.02,Tracking Status,05.02.01,Label created but not collected,SHIP-STATUS,SHIP-NOT-SENT,HUMAN-REVIEW,medium
05,Shipping and distribution,05.02,Tracking status,05.02.02,Normal transportation,SHIP-STATUS,RESOLVE-NOW,NEED-INFO,low
05,Shipping and distribution,05.02,Tracking status,05.02.03,Tracking number is invalid or not updated,SHIP-STATUS,SHIP-DELAY,HUMAN-REVIEW,medium
05,Shipping and distribution,05.02,Tracking status,05.02.04,Inconsistent carrier information,SHIP-STATUS,NEED-INFO,HUMAN-REVIEW,medium
05,shipping and distribution,05.03,delay and loss,05.03.01,transportation delay,SHIP-DELAY,SHIP-STATUS,HUMAN-REVIEW,medium
05,shipment and distribution,05.03,delayed and lost,05.03.02,suspected lost items without scanning for a long time,SHIP-LOST,SHIP-DELAY,HUMAN-REVIEW,high
05,shipment and distribution,05.03,delayed and lost,05.03.03,large-scale delays during events and festivals,SHIP-DELAY,EXPLAIN-POLICY,HUMAN-REVIEW,high
05,Shipping and distribution,05.03,Delayed and lost,05.03.04,Key date not delivered,SHIP-DELAY,ORDER-CANCEL-LATE,REFUND-COMP,high
05,Shipping and distribution,05.04,Delivery exception,05.04.01,Display delivery not received,SHIP-DNR,SHIP-LOST,HUMAN-REVIEW,manual
05,Shipping and distribution,05.04,Delivery abnormality,05.04.02,Unknown signer,SHIP-DNR,SECURITY-PHISHING,HUMAN-REVIEW,manual
05,Shipping and Distribution,05.04,Delivery Abnormal,05.04.03,Delivery Failure,SHIP-FAILED,ADDRESS-CHANGE,HUMAN-REVIEW,high
05,Shipping and Distribution,05.04,Delivery Abnormality,05.04.04,Package Stolen,SHIP-DNR,SHIP-LOST,HUMAN-REVIEW,manual
05,Shipping and distribution,05.05,Return to sender,05.05.01,Return with wrong address,SHIP-RTS,ADDRESS-CHANGE,HUMAN-REVIEW,high
05,Shipping and distribution,05.05,Return to sender,05.05.02,Return without signature,SHIP-RTS,SHIP-FAILED,HUMAN-REVIEW,high
05,Shipping and distribution,05.05,Return to sender,05.05.03,Refusal to pay customs duties,SHIP-RTS,SHIP-CUSTOMS,HUMAN-REVIEW,high
05,Shipping and distribution,05.05,Return to sender,05.05.04,Merchant recalls package,SHIP-RTS,RECALL-FLOW,HUMAN-REVIEW,manual
05,Shipping and Distribution,05.06,Partial and Special Shipping,05.06.01,Partial Shipping,SHIP-PARTIAL,ORDER-SPLIT,SHIP-STATUS,low
05,Shipping and distribution,05.06,Partial and special distribution,05.06.02,Gifts are shipped separately,SHIP-PARTIAL,PROMO-VALIDATE,SHIP-STATUS,low
05,Shipping and Distribution,05.06,Partial and Special Delivery,05.06.03,Store Pickup,SHIP-PICKUP,ORDER-CONFIRM,HUMAN-REVIEW,medium
05,Shipping and Distribution,05.06,Partial and Special Delivery,05.06.04,Local Delivery,SHIP-PICKUP,SHIP-STATUS,HUMAN-REVIEW,medium
05,Shipping and distribution,05.07,Cross-border and customs,05.07.01,Customs clearance delay,SHIP-CUSTOMS,SHIP-DELAY,HUMAN-REVIEW,high
05,Shipping and distribution,05.07,Cross-border and customs,05.07.02,Supplementary customs clearance materials,SHIP-CUSTOMS,NEED-INFO,HUMAN-REVIEW,manual
05,Shipping and Distribution,05.07,Cross-border and Customs,05.07.03,Tariff Dispute,TAX-DUTY,SHIP-CUSTOMS,HUMAN-REVIEW,manual
05,Shipping and distribution,05.07,Cross-border and customs,05.07.04,Cross-border embargo or customs detention,SHIP-CUSTOMS,LEGAL-ESCALATE,HUMAN-REVIEW,manual
06,abnormality in receipt and product,06.01,wrong part,06.01.01,completely wrong product,ITEM-WRONG,REPLACEMENT-FLOW,REFUND-ISSUED,high
06,Abnormalities in receipt and product,06.01,Wrong parts,06.01.02,Wrong size and color variant,ITEM-WRONG,EXCHANGE-REQUEST,REFUND-ISSUED,high
06,Abnormality in receipt of goods and goods,06.01,Wrong parts,06.01.03,More goods received,ITEM-WRONG,HUMAN-REVIEW,EXPLAIN-POLICY,high
06,Abnormalities in receipt and merchandise,06.01,Wrong parts,06.01.04,Others’ orders or privacy leaks,ITEM-WRONG,PRIVACY-REQUEST,HUMAN-REVIEW,manual
06,abnormality in receipt and product,06.02,missing parts,06.02.01,missing main product,ITEM-MISSING,SHIP-PARTIAL,REPLACEMENT-FLOW,high
06,Abnormalities in receipt and product,06.02,Missing parts,06.02.02,Missing accessories and parts,ITEM-MISSING,PARTS-FLOW,REFUND-PARTIAL,medium
06,abnormality in receipt and product,06.02,missing parts,06.02.03,missing gifts,PROMO-VALIDATE,ITEM-MISSING,REFUND-COMP,medium
06,abnormality in receipt and product,06.02,missing parts,06.02.04,shortage of quantity,ITEM-MISSING,REFUND-PARTIAL,REPLACEMENT-FLOW,high
06,abnormality in receipt and product,06.03,damaged,06.03.01,"outer packaging damaged, product intact",SHIP-DAMAGE,ITEM-QUALITY,HUMAN-REVIEW,medium
06,abnormality in receipt and product,06.03,damaged,06.03.02,product appearance damaged,ITEM-DAMAGED,REPLACEMENT-FLOW,REFUND-ISSUED,high
06,abnormality in receipt and product,06.03,damaged,06.03.03,product leaked and broken,ITEM-DAMAGED,SAFETY-ESCALATE,HUMAN-REVIEW,manual
06,Abnormality in receipt and product,06.03,Damage,06.03.04,Functional damage caused by transportation,ITEM-DAMAGED,ITEM-DEFECT,HUMAN-REVIEW,high
06,abnormality in receipt and product,06.04,fault defect,06.04.01,unusable after opening the box,ITEM-DEFECT,REPLACEMENT-FLOW,REFUND-ISSUED,high
06,abnormality in receipt and product,06.04,fault defect,06.04.02,intermittent fault,ITEM-DEFECT,REPAIR-FLOW,HUMAN-REVIEW,high
06,Abnormalities in receipt and merchandise,06.04,Fault defects,06.04.03,Software and firmware problems,ITEM-DEFECT,DIGITAL-ACTIVATE,HUMAN-REVIEW,medium
06,Abnormalities in receipt and merchandise,06.04,Fault defects,06.04.04,Safety-related faults,SAFETY-ESCALATE,ITEM-DEFECT,HUMAN-REVIEW,manual
06,Abnormality in receipt and product,06.05,The description does not match the adaptation,06.05.01,The description on the product page does not match,ITEM-NAD,RETURN-ELIGIBLE,REFUND-ISSUED,high
06,Abnormality in receipt and product,06.05,The description does not match the fit,06.05.02,The color of the picture obviously does not match,ITEM-NAD,EXCHANGE-REQUEST,RETURN-ELIGIBLE,medium
06,Abnormality in receipt and product,06.05,Inconsistency between description and fit,06.05.03,Inappropriate size,ITEM-FIT,EXCHANGE-REQUEST,RETURN-ELIGIBLE,medium
06,Abnormality in receipt and product,06.05,Inconsistency between description and adaptation,06.05.04,Incompatible equipment,ITEM-FIT,ITEM-NAD,RETURN-ELIGIBLE,medium
06,Abnormalities in receipt and merchandise,06.06,Quality hygiene and shelf life,06.06.01,Performance lower than expected,ITEM-QUALITY,ITEM-DEFECT,RETURN-ELIGIBLE,medium
06,Abnormalities in receipt and goods,06.06,Quality hygiene and shelf life,06.06.02,Imminent or expired,ITEM-EXPIRY,REFUND-ISSUED,HUMAN-REVIEW,manual
06,Abnormalities in receipt of goods and goods,06.06,Quality hygiene and shelf life,06.06.03,Broken seal and contaminated foreign matter,ITEM-EXPIRY,SAFETY-ESCALATE,HUMAN-REVIEW,manual
06,Abnormalities in receipt and product,06.06,Quality hygiene and shelf life,06.06.04,Suspected fake or refurbished goods not disclosed,ITEM-NAD,MARKETPLACE-ROUTE,HUMAN-REVIEW,manual
07,Returns and exchanges,07.01,Return qualifications,07.01.01,Change of mind within the period,RETURN-ELIGIBLE,RETURN-LABEL,EXPLAIN-POLICY,medium
07,Returns and exchanges,07.01,Return qualifications,07.01.02,Exceeded merchant return period,RETURN-EXCEPTION,EXPLAIN-POLICY,HUMAN-REVIEW,manual
07,Returns and Exchanges,07.01,Return Qualifications,07.01.03,Final Sales Goods,RETURN-EXCEPTION,EXPLAIN-POLICY,HUMAN-REVIEW,manual
07,Returns and Exchanges,07.01,Return Eligibility,07.01.04,Return of Defective Goods,RETURN-ELIGIBLE,ITEM-DEFECT,REFUND-ISSUED,high
07,Returns and Exchanges,07.01,Return Qualifications,07.01.05,Customized Perishable Hygienic Exceptions,RETURN-EXCEPTION,EXPLAIN-POLICY,HUMAN-REVIEW,manual
07,Returns and exchanges,07.02,Return initiation,07.02.01,Application for return entry,RETURN-ELIGIBLE,RETURN-LABEL,RESOLVE-NOW,medium
07,Returns and exchanges,07.02,Return initiated,07.02.02,Return label not received or invalid,RETURN-LABEL,RETURN-STATUS,HUMAN-REVIEW,medium
07,returns and exchanges,07.02,return initiation,07.02.03,return address confirmation,RETURN-LABEL,EXPLAIN-POLICY,HUMAN-REVIEW,high
07,Returns and exchanges,07.02,Return initiation,07.02.04,Packaging accessories gift requirements,RETURN-ELIGIBLE,EXPLAIN-POLICY,NEED-INFO,medium
07,Returns and Exchanges,07.03,Return Fees,07.03.01,Return Freight Charges,EXPLAIN-POLICY,REFUND-COSTS,HUMAN-REVIEW,medium
07,Returns and Exchanges,07.03,Return Fees,07.03.02,Restocking Fees,EXPLAIN-POLICY,REFUND-PARTIAL,HUMAN-REVIEW,manual
07,Returns and Exchanges,07.03,Return Fees,07.03.03,Whether the original shipping costs will be refunded,REFUND-COSTS,EXPLAIN-POLICY,HUMAN-REVIEW,medium
07,Returns and Exchanges,07.03,Return Fees,07.03.04,International Return Fees,RETURN-INTERNATIONAL,REFUND-COSTS,HUMAN-REVIEW,manual
07,Returns and exchanges,07.04,Return status,07.04.01,Sent and waiting for warehouse,RETURN-STATUS,SHIP-STATUS,HUMAN-REVIEW,medium
07,Returns and Exchanges,07.04,Return Status,07.04.02,Warehouse has been received and awaiting quality inspection,RETURN-STATUS,REFUND-PENDING,HUMAN-REVIEW,medium
07,Returns and Exchanges,07.04,Return Status,07.04.03,Return Tracking Lost,RETURN-STATUS,SHIP-LOST,HUMAN-REVIEW,high
07,Returns and Exchanges,07.04,Return Status,07.04.04,Return Rejected,RETURN-REFUSED,EXPLAIN-POLICY,HUMAN-REVIEW,manual
07,return and exchange,07.05,exchange,07.05.01,change size and color,EXCHANGE-REQUEST,ITEM-FIT,HUMAN-REVIEW,high
07,Returns and Exchanges,07.05,Exchanges,07.05.02,Fault Replacement,EXCHANGE-REQUEST,REPLACEMENT-FLOW,HUMAN-REVIEW,high
07,return and exchange,07.05,exchange,07.05.03,exchange price difference,EXCHANGE-REQUEST,PRICE-EXPLAIN,HUMAN-REVIEW,high
07,Returns and Exchanges,07.05,Exchanges,07.05.04,Exchange Status,EXCHANGE-STATUS,SHIP-STATUS,HUMAN-REVIEW,medium
07,Returns and Exchanges,07.06,Special Returns,07.06.01,Gift Returns,RETURN-GIFT,RETURN-ELIGIBLE,HUMAN-REVIEW,high
07,Returns and Exchanges,07.06,Special Returns,07.06.02,Cross-border Returns,RETURN-INTERNATIONAL,RETURN-ELIGIBLE,HUMAN-REVIEW,manual
07,Returns and Exchanges,07.06,Special Returns,07.06.03,Platform Order Returns,MARKETPLACE-ROUTE,RETURN-ELIGIBLE,HUMAN-REVIEW,manual
07,returns and exchanges,07.06,special returns,07.06.04,partial returns of multiple items,RETURN-ELIGIBLE,REFUND-PARTIAL,HUMAN-REVIEW,high
08,Refund and Compensation,08.01,Refund Request,08.01.01,Whole Order Refund,REFUND-ISSUED,ORDER-CANCEL,HUMAN-REVIEW,manual
08,Refund and Compensation,08.01,Refund Request,08.01.02,Single Product Partial Refund,REFUND-PARTIAL,RETURN-ELIGIBLE,HUMAN-REVIEW,high
08,Refund and compensation,08.01,Refund request,08.01.03,Shipping fee refund only,REFUND-COSTS,REFUND-PARTIAL,HUMAN-REVIEW,high
08,Refund and Compensation,08.01,Refund Request,08.01.04,No need to return or refund,REFUND-ISSUED,EXPLAIN-POLICY,HUMAN-REVIEW,manual
08,Refund and compensation,08.02,Refund status,08.02.01,Initiated but not received,REFUND-PENDING,REFUND-ISSUED,HUMAN-REVIEW,medium
08,Refund and compensation,08.02,Refund status,08.02.02,Refund failed,REFUND-FAILED,REFUND-PENDING,HUMAN-REVIEW,manual
08,Refund and compensation,08.02,Refund status,08.02.03,Original card closed or replaced,REFUND-FAILED,REFUND-PENDING,HUMAN-REVIEW,manual
08,Refund and compensation,08.02,Refund status,08.02.04,Refund canceled or returned,REFUND-FAILED,PAYMENT-DUPLICATE,HUMAN-REVIEW,manual
08,Refund and compensation,08.03,Refund amount,08.03.01,Insufficient refund amount,REFUND-PARTIAL,PRICE-EXPLAIN,HUMAN-REVIEW,high
08,Refund and compensation,08.03,Refund amount,08.03.02,Recalculation of discount activities,REFUND-PARTIAL,PROMO-VALIDATE,HUMAN-REVIEW,high
08,Refund and Compensation,08.03,Refund Amount,08.03.03,"Freight, Taxes and Customs Disputes",REFUND-COSTS,TAX-DUTY,HUMAN-REVIEW,manual
08,Refund and compensation,08.03,Refund amount,08.03.04,Restocking fee dispute,REFUND-PARTIAL,EXPLAIN-POLICY,HUMAN-REVIEW,manual
08,Refund and compensation,08.04,Refund method,08.04.01,Return to original route,REFUND-ISSUED,REFUND-PENDING,RESOLVE-NOW,medium
