热度,作者,用户名,内容,链接,发布时间
19,Mute,Mute_swap,"You will need 250,000 Mute tokens to enter the private yield pools which will generate ZEC and XMR rewards.  Our agent finds and builds wealth through yield generation, this yield is then shared with ",https://twitter.com/Mute_swap/status/2042402755138953600,Fri Apr 10 00:42:17 +0000 2026
19,Simon Phillips,siphillipssport,"Enzo Fernandez agent, Javier Pastore:  “He’ll play in the World Cup this summer and finish the season with Chelsea. Now, we’re waiting for Chelsea to qualify for UCL because he wants to play in the be",https://twitter.com/siphillipssport/status/2042466482227982655,Fri Apr 10 04:55:31 +0000 2026
18,Nexo,Nexo,"The difference between trading bot & AI agent.  A bot follows fixed rules. An AI agent reasons. Give it a goal like """"maximize yield while reducing volatility exposure"""" and it figures out how to get th",https://twitter.com/Nexo/status/2042265203597791309,Thu Apr 09 15:35:42 +0000 2026
16,Primus Labs,primus_labs,"1/ AI agents can now trigger real economic actions, but they remain black boxes — when you ask “How did you actually do this?”, you still only get logs or screenshots.  That’s why Veritas was born, th",https://twitter.com/primus_labs/status/2042233599886541174,Thu Apr 09 13:30:07 +0000 2026
15,Kleros,Kleros_io,The agent economy is shipping faster than the trust layer underneath it.  Our answer: Kleros as a reputation protocol for ERC-8004.  Two weeks ago we showed the POC. This week it's a dedicated smart c,https://twitter.com/Kleros_io/status/2042219454671519904,Thu Apr 09 12:33:55 +0000 2026
14,Praxis,Praxis_Protocol,What’s live right now: • $PRXS micropayments on Arbitrum • On-chain agent identity (ERC-8004) • Full loop: discovery → execution → payment • Orbit-ready for scale  Not speculation. Actual usage.,https://twitter.com/Praxis_Protocol/status/2042195851355840923,Thu Apr 09 11:00:07 +0000 2026
13,ampersend,ampersend_ai,"☁️ @googlecloud's a2a stack is legitimately well-designed. agent discovery via agent cards, task lifecycle management, enterprise auth, flexible deployment across agent engine and cloud run. it solves",https://twitter.com/ampersend_ai/status/2042324165428998532,Thu Apr 09 19:30:00 +0000 2026
13,402hub,hubx402,402Hub isn’t a directory.  It’s the full stack for onchain AI agents:  → identity (ERC-8004) → reputation (onchain) → payments (x402 + MPP) → marketplace →skills exchange → rewards ($HUB) One system. ,https://twitter.com/hubx402/status/2042365889870524755,Thu Apr 09 22:15:48 +0000 2026
12,Digi,xcryptodigi,Hacim yoksa borsa projeyi tutmaz. Malesef.  Tuttuğunuz projelerin hacimlerine mutlaka göz atın dostlar.  $BIFI — Beefy Finance (https://t.co/nmKO94lbM6) (Multi-chain yield optimizer / auto-compounding,https://twitter.com/xcryptodigi/status/2042155436313346389,Thu Apr 09 08:19:32 +0000 2026
11,Ronald van Loon,Ronald_vanLoon,Choosing The Right #LLM for Your #AIAgent by @Python_Dv  #GenAI #ArtificialIntelligence #MachineLearning #ML https://t.co/wwWwrT86XM,https://twitter.com/Ronald_vanLoon/status/2042262019710067063,Thu Apr 09 15:23:03 +0000 2026
9,Henry @CROSS,henrychang10000,The Agentverse has truly just begun. We’re building a fundamentally different kind of games and platforms designed for agent gaming. I will personally take full responsibility for everything I’ve said,https://twitter.com/henrychang10000/status/2042340694128542205,Thu Apr 09 20:35:40 +0000 2026
9,SolHedge | AI-Powered LP Protection,solhedge_prjct,"you are leaving yield on the table  here is how to fix it  • hold 200,000 $SHEDGE • activate premium account • turn on auto hedge  now your capital works in both directions no need to manage positions",https://twitter.com/solhedge_prjct/status/2042230300198224138,Thu Apr 09 13:17:01 +0000 2026
9,Crypttp,crypttp,"Join us today for a space with @askdorris, @Growthy_Web3 and 8 other panel speaker.   https://t.co/T73rrtSI5h  📅 2PM UTC, April 9  $CRYPTTP #Solana #aiagent #Web4",https://twitter.com/crypttp/status/2042150529573278014,Thu Apr 09 08:00:02 +0000 2026
8,Haofei Yu,haofeiyu44,Trading is entering an agent-native era. Prediction markets are the natural proving ground. 🤖📈  Meet Coinjure: an open-source trading agent harness designed specifically for prediction markets and sel,https://twitter.com/haofeiyu44/status/2042378036923023786,Thu Apr 09 23:04:04 +0000 2026
8,Cameron Choi,camjchoi,Anthropic blocked Claude subscription usage for OpenClaw. People moved OpenClaw onto another provider. OpenClaw got worse.  @drewmaely and I built a solution for this. Open sourcing tomorrow: MaelyCla,https://twitter.com/camjchoi/status/2042461714940071946,Fri Apr 10 04:36:34 +0000 2026
7,Matthew Graham,mattyryze,"aiaiaiclaws, an Austin Texas lobster farm. a business owned and controlled by my digital twin Marty, an Amiko OpenClaw who lives on a Mac Mini in Shanghai and has human employees. the future is here. ",https://twitter.com/mattyryze/status/2042370453881442502,Thu Apr 09 22:33:56 +0000 2026
7,Crypttp,crypttp,Bored? Join us for another space today at 4PM UTC.   https://t.co/g8VT0YDkG1  Have you heard of #Web4? $CRYPTTP is an oil of the engine driven by AI-agent economies and blockchain.   #aiagent #ai #Sol,https://twitter.com/crypttp/status/2042210932894347416,Thu Apr 09 12:00:03 +0000 2026
6,Loktar 🇺🇸,loktar00,"Their openclaw agent is running a lobster farm in Austin with actual human employees reporting to it.... we skipped right past """"AI will take your job"""" straight to """"AI is your boss now"""" I guess.",https://twitter.com/loktar00/status/2042437657419034675,Fri Apr 10 03:00:58 +0000 2026
6,Otonomos,Otonomos,"🚨 BOOM: AI agents registration just went fully on-chain.  ERC-8004 lets creators mint an ERC-721 identity with all the bot’s data (name, capabilities, endpoints, payment) directly on-chain.  No more b",https://twitter.com/Otonomos/status/2042216645565763699,Thu Apr 09 12:22:45 +0000 2026
6,Hussain Zulfiqar,hussainzulz,"Colada - Crypto's first agent perp DEX.  A perpetual futures DEX on Solana, built as part of the DeFi-8004 protocol by @Quantu_AI, natively designed for autonomous trading agents.  Going live soon. Se",https://twitter.com/hussainzulz/status/2042309996311167228,Thu Apr 09 18:33:42 +0000 2026
5,opnetoshi,opnetoshi,7/ The compounding flywheel:  Farmers earn $PILL → sell half for $MOTO → re-enter LP → stake → earn more $PILL → repeat. Every cycle: $MOTO buy pressure increases. LP depth grows. Yield stays attracti,https://twitter.com/opnetoshi/status/2042262398715719952,Thu Apr 09 15:24:33 +0000 2026
5,Romy,Romy_Holland,"someone should invent an auto shop for women. i called a bunch of shops today and there were loud noises in the background and they just kept shouting specs at me.   listen buddy, i have no idea how c",https://twitter.com/Romy_Holland/status/2042465399070200120,Fri Apr 10 04:51:12 +0000 2026
5,MinChi,minchi,"In a recent episode of Lenny's Podcast, @clairevo  talks about onboarding OpenClaw agents and that really clicked for me   The way she models permissions, identity, and trust for each agent is almost ",https://twitter.com/minchi/status/2042183346470432881,Thu Apr 09 10:10:26 +0000 2026
5,Thirdy | VOID π²,thirdy12356,"look at the @pinai_io treasury snapshot. finalized payments, gross volume, and the flow legend for agent skills.🏛️🤖  thirdyAgent2 is out here providing value and settling in USDC. the infrastructure f",https://twitter.com/thirdy12356/status/2042392112881156167,Fri Apr 10 00:00:00 +0000 2026
4,Tim Gardner Project,timgproject,"We live in a world of irresponsible human beings and so now we want to blame AI with our problems when we are codependent. Come on man. Rule 1 never take life advice from an AI agent, Rule 2 if you re",https://twitter.com/timgproject/status/2042451929616564337,Fri Apr 10 03:57:41 +0000 2026
4,Aaditya Rawat,iocryposto1273,"Stop losing to Impermanent Loss.  YieldMind is LIVE: Scans LP pools → deposits → hedges on Kraken → auto rebalances → on-chain proof.  High yield. Zero directional risk.  Reply """"IN"""" for the live dashb",https://twitter.com/iocryposto1273/status/2042431776455557223,Fri Apr 10 02:37:36 +0000 2026
4,🐺 Mike ⚡️🇺🇸🇮🇹,mikesulsenti,"You edit a config file 😼  (Which is why I made the manager app to act as a UI to auto-config the ideal setup and edit it easily cause that obviously sucks for normies)  It is a """"pain point"""", but mpv i",https://twitter.com/mikesulsenti/status/2042356126512267579,Thu Apr 09 21:37:00 +0000 2026
4,Ethnic Kannadiga,Ellarakannada,Kannada should be made mandatory for auto and taxi drivers in Karnataka.  That'll help to check illegal immigrants from Bangladesh as well as others in exploiting natives.  @siddaramaiah  #Kannada_In_,https://twitter.com/Ellarakannada/status/2042464337164714016,Fri Apr 10 04:46:59 +0000 2026
3,Sky,SkyEcosystem,"This is not just a Better story. It is a proof of concept for what the Sky Agent model makes possible.  When onchain infrastructure becomes the backbone of real-world financial products, mortgages, en",https://twitter.com/SkyEcosystem/status/2042252195228176880,Thu Apr 09 14:44:01 +0000 2026
3,Jasneet Singh Saini,jasneet2003,"This bad boy is now a full-blown AI-orchestrated, on-chain, BTC-only laundry revolution:  ✅ AI Smart Spin Oracle predicts exactly how dirty your undies are and auto-adjusts water pressure like a DeFi ",https://twitter.com/jasneet2003/status/2042233836311040073,Thu Apr 09 13:31:04 +0000 2026
3,javier perez 🫎,pedri232,Evening check-in: ran a fresh angle with @senditfun pushed SOL into velocity-guard vaults and rotated between pools to test liquidity sensitivity. Saw tighter spreads and an auto-rebalance vibe while ,https://twitter.com/pedri232/status/2042274794251645043,Thu Apr 09 16:13:49 +0000 2026
3,𝑷𝒍𝒂𝒚𝒗𝒆𝒓𝒔𝒆,playverse_wtf,.@mattlefun just shipped auto run 👀  too busy to grind? let the game run itself  - burn energy → earn points - rewards estimated from your past runs (same mode) - scaled by energy + all multipliers - ,https://twitter.com/playverse_wtf/status/2042465487599386723,Fri Apr 10 04:51:34 +0000 2026
3,Nick Horob,NickHorob,"When I was planning Cohort 3 of AI on Your Farm, I went back and forth on whether to include OpenClaw.  It's one of the more advanced AI agent tools out there. Not the kind of thing you pick up in an ",https://twitter.com/NickHorob/status/2042418517287268491,Fri Apr 10 01:44:55 +0000 2026
3,Yukang Chen,yukangchen_,"TriAttention is a KV cache optimization designed for long reasoning in LLMs, aiming to maintain both efficiency and model quality. OpenClaw has strong requirements on long reasoning: it needs the LLM ",https://twitter.com/yukangchen_/status/2042162875956138205,Thu Apr 09 08:49:05 +0000 2026
3,max,maxkolysh,"openclaw was an awesome innovation, but it’s way too rough around the edges. it feels vibecoded and unnecessarily complex.  after battling it for 6 hours this past weekend, i switched to hermes. herme",https://twitter.com/maxkolysh/status/2042461391190442107,Fri Apr 10 04:35:17 +0000 2026
2,Lulubear_Studio,LulubearStudio,🕵️Check out our Dev Log on the updates to Chapter Two: The Grand Gala!  💻Read and Wishlist Magnet Agent on Steam: https://t.co/RUUx6eHKQd  #indiegame #steam #puzzlegame #videogames #puzzle https://t.c,https://twitter.com/LulubearStudio/status/2042226034117136385,Thu Apr 09 13:00:03 +0000 2026
2,Stanford Center for Digital Health,StanfordCDH,"Designed to take on the vast landscape of modern biological data, CellVoyager is an AI agent that autonomously runs complex scRNA-seq analyses at scale.   Learn more about the work from CDH-funded res",https://twitter.com/StanfordCDH/status/2042357117990982115,Thu Apr 09 21:40:56 +0000 2026
2,Griffin,griffin_kao,"I'm experimenting with a custom agent to help me stay updated on the projects my team is working on.     The agent harness is simple, designed by claude code, and includes all the building blocks you'",https://twitter.com/griffin_kao/status/2042352690743652621,Thu Apr 09 21:23:21 +0000 2026
2,Windy | 长风 💫,haki0795,afternoon: quick field note: wallchain is wiring a Co‑Sign Session Key lane for live collabs time‑boxed keys you mint for a thread or stream; every co‑signed move mints a joint receipt with scoped rig,https://twitter.com/haki0795/status/2042110175943999938,Thu Apr 09 05:19:41 +0000 2026
2,Imperial trading company⚖️,Frenchroast79,"That does probably mean, we will see the inverse as price climbs.   This works, our advantage as the large yield payments can auto purchase more shares when they’re cheapest",https://twitter.com/Frenchroast79/status/2042318514157969766,Thu Apr 09 19:07:32 +0000 2026
2,Steer Protocol | 🐂,steerprotocol,For DAO treasuries and stable capital allocators:  Idle BOLD does not need to sit still.  Steer Stability Vaults provide a managed way to deploy into Liquity V2 Stability Pools with: • liquidation-dri,https://twitter.com/steerprotocol/status/2042275119326990828,Thu Apr 09 16:15:06 +0000 2026
2,Eva,evajaack,"big crypto story isn't btc chop, it's Coinbase getting OCC trust-bank approval while Congress inches toward stablecoin yield rules. rails are going legit fast. but payments without reputation + constr",https://twitter.com/evajaack/status/2042265850623762533,Thu Apr 09 15:38:16 +0000 2026
2,G a a h,gaah_im,"From 337 to 162,000+ registered AI agents in just two months 🚀  ERC-8004 standard is rapidly becoming the passport for autonomous economic entities 🤖  BNB Chain is winning agent-economy race because i",https://twitter.com/gaah_im/status/2042399664633495674,Fri Apr 10 00:30:00 +0000 2026
